Jeux,Description,Sortie,Test,Avis
God of War sur PS4,"Dans ce nouvel épisode de God Of War, le héros évoluera dans un monde aux inspirations nordiques, très forestier et montagneux. Dans ce beat-them-all, un enfant accompagnera le héros principal, pouvant apprendre des actions du joueur, et même gagner de l'expérience.",20 avril 2018,20/20,17.7/20
The Legend of Zelda : Breath of the Wild,"The Legend of Zelda : Breath of the Wild est un jeu d'action/aventure. Link se réveille d'un sommeil de 100 ans dans un royaume d'Hyrule dévasté. Il lui faudra percer les mystères du passé et vaincre Ganon, le fléau. L'aventure prend place dans un gigantesque monde ouvert et accorde ainsi une part importante à l'exploration. Le titre a été pensé pour que le joueur puisse aller où il veut dès le début, s'éloignant de la linéarité habituelle de la série.",3 mars 2017,20/20,17.5/20
The Legend of Zelda : The Wind Waker sur NGC,"Dans The Legend of Zelda : The Wind Waker, vous incarnez Link dans sa quête pour sauver sa sœur. Découvrez Hyrule sous les flots dans ce jeu d'aventure en style cartoon, et naviguez au dos du Lion Rouge en vous orientant grâce à la Baguette du Vent pour explorer toutes les îles de ce vaste océan et dévoiler les secrets et les donjons qu'elles renferment.",3 mai 2003,20/20,18.9/20
Silent Hill,"Silent Hill est un survival horror à télécharger sur PS3 via le Playstation Store. Il s'agit de la toute première version de Silent Hill sorti sur Playstation. Vous êtes Harry Mason et venez d'arriver dans la petite ville à bord de votre 4x4 avec votre fille Cheryl. En pleine nuit, un accident met fin au voyage. Cheryl a disparu et un étrange brouillard recouvre Silent Hill, une ville complètement infestée de créatures décharnées et avides de chair fraîche.",1er août 1999,19/20,18.6/20
Panzer Dragoon Saga sur Saturn,Panzer Dragoon Saga est un jeu de rôle en 3D sur Saturn. Vous êtes dans la peau du jeune Edge et vous devez avec l'aide d'un dragon combattre le méchant Empire qui a assassiné votre peuple. Tout ce remue-ménage fait suite à une étrange découverte archéologique...,Juin 1998,19/20,18.8/20
Kingpin : Life of Crime sur PC,"Kingpin : Life of Crime est un jeu de tir à la première personne sorti sur PC. Vous allez incarner un des pires gangsters que la terre ait jamais porté. Rejeté par le grand chef de la pègre locale et laissé pour mort dans les bas-fonds, vous avez décidé de devenir caïd à la place du caïd et de créer votre propre gang. Avec une moralité aussi petite que votre cerveau, vous devrez bastonner, torturer, trahir et tuer pour vous faire respecter.",Août 1999,19/20,17.5/20
ISS Pro Evolution sur PS1,"ISS Pro Evolution est un jeu de football sur Playstation. Si les licences de joueurs sont aux abonnés absents, les équipes nationales sont bien là ainsi que 10 stades fidèlement représentés. Il est possible de modifier les options météo et l'efficacité de l'intelligence artificielle, sans oublier les 9 angles de caméras différents. Jusqu'à quatre joueurs peuvent s'affronter simultanément.",25 février 2000,19/20,18.4/20
Batman Arkham City,"Batman Arkham City est un jeu d'aventure/action dans lequel Batman doit de nouveau affronter son ennemi juré, le Joker, dans un Arkham toujours plus sombre et vaste. De nombreuses quêtes annexes permettent d'explorer la ville en détails.",20 octobre 2011,19/20,18.6/20
Super Metroid,"Retrouvez la chasseuse de primes intergalactique Samus Aran dans Super Metroid sur Console Virtuelle. De nouvelles aventures l'attendent suite au vol du dernier Métroïde, la voilà repartie sur la planète Zèbes avec un tout nouvel arsenal incluant le rayon grappin et la vision à rayon X. Utilisez votre laser, des missiles et des bombes pour venir à bout des boss dans ce jeu d'action en 2D.",28 juillet 1994,19/20,19.4/20
Umineko no Naku Koro ni : Shinjitsu to Gensô no Symphony,Umineko no Naku Koro ni est un visual novel. Le joueur incarne le jeune Battler Ushiromiya qui assiste à une série de meurtres brutaux et incompréhensible. Son objectif sera alors de les résoudre pour savoir s'ils ont été commis par un être humain ou une entité surnaturelle.,8 juillet 2016,19/20,18.6/20
Baldur's Gate II : Shadows of Amn,"Baldur's Gate II : Enhanced Edition est un remake de Baldur's Gate II : Shadows of Amn et de son extension, Baldur's Gate II : Throne of Bhaal. Ce jeu de rôle reprend le principe de son aîné (Baldur's Gate) et propose la création d'un personnage parmi diverses classes, caractéristiques et compétences.",3 novembre 2000,19/20,18.4/20
Alien Soldier,"Dans Alien Soldier sur Console Virtuelle, vous incarnez un soldat extraterrestre génétiquement modifié décidant de rompre avec l'organisation qui l'employait jusqu'alors. Affrontez donc vos anciens alliés dans ce jeu d'action à défilement horizontal et servez-vous des six armes à votre disposition pour remonter jusqu'au boss et l'anéantir.",1995,19/20,18.2/20
Splinter Cell,"Splinter Cell est un jeu d'infiltration sur PC. Vous êtes Sam Fisher, le meilleur agent d'une entité secrète de la National Security Agency et accessoirement le dernier recours de votre gouvernement dans sa lutte contre le terrorisme. Infiltrez-vous dans des univers d'ombre et de lumière et forcez l'ennemi à coopérer ou utilisez-le comme bouclier humain. Vos armes et vos équipements sont issus de la plus haute technologie.",28 novembre 2002,19/20,18.6/20
The Witcher 3 : Wild Hunt,"The Witcher 3 : Wild Hunt est un Action-RPG se déroulant dans un monde ouvert. Troisième épisode de la série du même nom, inspirée des livres du polonais Andrzej Sapkowski, cet opus relate la fin de l'histoire de Geralt de Riv.",19 mai 2015,19/20,18.3/20
Rayman Origins,"Rayman Origins est un célèbre jeu de plates-formes. On retrouve un monde à l'ancienne avec un gameplay en 2D effectuant un retour aux sources de la série. Rayman part ici en quête des Electoons et des Lums à travers une soixantaine de niveaux où variété, difficulté et secrets sont au rendez-vous.",24 novembre 2011,19/20,17.1/20
Super Mario Bros. 2,"Super Mario Bros. 2 sur Console Virtuelle Wii U marque un tournant dans la série de ce mythique jeu de plates-formes puisqu'il introduit la possibilité de choisir son personnage. Incarnez ainsi le célèbre tandem de plombiers moustachus, la princesse Peach ou bien son compagnon Toad dans une aventure magique. Vous devez sauver les habitants du monde des rêves des griffes de l'ignoble Wart, le tyran batracien.",1988,19/20,19/20
The Legend of Zelda : A Link to the Past,"Dans the Legend of Zelda : A Link to the Past, le joueur dirige Link dans sa quête pour sauver Hyrule. Dans ce jeu d'action/aventure en 2D, il est possible de basculer du monde des ténèbres à celui de la lumière pour sauver la princesse Zelda du sorcier Agahnim et trouver les nombreux objets nécessaires à l'accomplissement de la quête.",24 septembre 1992,19/20,18.1/20
Vagrant Story,"Vagrant Story est un jeu de rôle sur Playstation 3. Vous incarnez Ashley Riot, agent secret pour le compte des forces royales, et allez tenter de lever le voile sur de terribles secrets que recèle la cité maudite de Léa Mundis. Vous devez ruser, apprendre à maîtriser l'art de la magie et faire montre de vos talents de combattant pour réussir à venir à bout des dangers qui vous guettent.",21 juin 2000,19/20,18.3/20
Gears of War 2 sur 360,"Dans Gears of War 2 sur Xbox 360, vous retrouvez une vieille connaissance, Marcus Fenix ainsi que l'équipe Delta face aux Locustes, dans un combat sanglant et intense. Il vous faudra avancer seul ou en équipe pour suivre le déroulement du scénario qui est une suite directe du premier volet.",7 novembre 2008,19/20,17.8/20
