iter	Accuracy	Logloss
125	0.9494382022	0.1875412582
126	0.9494382022	0.1869653247
127	0.9494382022	0.1855364037
128	0.952247191	0.1828145278
129	0.952247191	0.1821700952
130	0.952247191	0.1820702366
131	0.952247191	0.18093967
132	0.952247191	0.1804265614
133	0.952247191	0.1803052078
134	0.952247191	0.1793586868
135	0.952247191	0.1789306112
136	0.9550561798	0.1768512814
137	0.9564606742	0.1749360146
138	0.9564606742	0.1740074925
139	0.9550561798	0.1733696409
140	0.9550561798	0.1714647097
141	0.9550561798	0.171082771
142	0.9564606742	0.1704579762
143	0.9564606742	0.1696960883
144	0.9578651685	0.1692023658
145	0.9578651685	0.1681465026
146	0.9564606742	0.1669238888
147	0.9564606742	0.166867078
148	0.9578651685	0.1655179347
149	0.9578651685	0.164709312
150	0.9578651685	0.1638970943
151	0.9578651685	0.1617523882
152	0.9578651685	0.1617035583
153	0.9578651685	0.161490721
154	0.9578651685	0.1594310037
155	0.9578651685	0.1593149201
156	0.9578651685	0.1591274172
157	0.9606741573	0.1576333111
158	0.9606741573	0.1562365233
159	0.9606741573	0.155079801
160	0.9606741573	0.1542126931
161	0.9606741573	0.1533602591
162	0.9606741573	0.1519195679
163	0.9606741573	0.1513069142
164	0.9606741573	0.1503846087
165	0.9620786517	0.1487938684
166	0.9634831461	0.1472971315
167	0.9648876404	0.1468773791
168	0.9634831461	0.1466660027
169	0.9634831461	0.1465067455
170	0.9634831461	0.1460435432
171	0.9648876404	0.1451315465
172	0.9662921348	0.1443918791
173	0.9691011236	0.1433065849
174	0.970505618	0.1425604797
175	0.970505618	0.1404848145
176	0.970505618	0.1387664376
177	0.9691011236	0.1381116114
178	0.9719101124	0.1367470239
179	0.9719101124	0.1347532728
180	0.9719101124	0.1327801
181	0.9719101124	0.1322406417
182	0.9719101124	0.1314439968
183	0.9719101124	0.1291291243
184	0.9719101124	0.1278480957
185	0.9719101124	0.12776774
186	0.9719101124	0.1269015421
187	0.9719101124	0.126645948
188	0.9719101124	0.1255083239
189	0.9719101124	0.1254649556
190	0.9719101124	0.1254334134
191	0.970505618	0.1243455009
192	0.970505618	0.1231476307
193	0.9719101124	0.1230554643
194	0.9719101124	0.1213384139
195	0.9719101124	0.1206595328
196	0.9719101124	0.1200941671
197	0.9719101124	0.1193066044
198	0.9747191011	0.1187050636
199	0.9747191011	0.1186790563
200	0.9747191011	0.1184344987
201	0.9747191011	0.118385425
202	0.9747191011	0.1170673203
203	0.9733146067	0.1159794374
204	0.9747191011	0.1156373822
205	0.9761235955	0.1153410718
206	0.9761235955	0.1152854128
207	0.9761235955	0.1136568788
208	0.9761235955	0.1128779714
209	0.9761235955	0.1121521079
210	0.9761235955	0.1113294148
211	0.9761235955	0.11064446
212	0.9747191011	0.1093365483
213	0.9747191011	0.1084707958
214	0.9747191011	0.1080376315
215	0.9747191011	0.1076588789
216	0.9747191011	0.1070419187
217	0.9747191011	0.1060955691
218	0.9761235955	0.1052669437
219	0.9761235955	0.104773674
220	0.9761235955	0.1041985324
221	0.9803370787	0.1031779547
222	0.9803370787	0.1025335881
223	0.9831460674	0.1018427004
224	0.9831460674	0.1013687564
225	0.9845505618	0.101029943
226	0.9845505618	0.1000128438
227	0.9831460674	0.09832808697
228	0.9845505618	0.09823102422
229	0.9859550562	0.09758121812
230	0.9873595506	0.09681685226
231	0.9873595506	0.09620799798
232	0.9873595506	0.09560434056
233	0.9873595506	0.09515261845
234	0.9859550562	0.09467629962
235	0.9859550562	0.09423601543
236	0.9859550562	0.09382935236
237	0.9859550562	0.09342113407
238	0.9859550562	0.09285059202
239	0.9859550562	0.09237067207
240	0.9859550562	0.09112421881
241	0.9859550562	0.09083574102
242	0.9859550562	0.09046701147
243	0.9873595506	0.0894102344
244	0.9873595506	0.08937149531
245	0.9887640449	0.08843810924
246	0.9887640449	0.08811636585
247	0.9887640449	0.08808387154
248	0.9887640449	0.08758566717
249	0.9873595506	0.08701893879
250	0.9887640449	0.08668328622
251	0.9873595506	0.08627665193
252	0.9873595506	0.08588080653
253	0.9887640449	0.08567069365
254	0.9873595506	0.08563333557
255	0.9873595506	0.08522612099
256	0.9859550562	0.08454183631
257	0.9859550562	0.08414802468
258	0.9887640449	0.08347499095
259	0.9873595506	0.08333847602
260	0.9887640449	0.08298524402
261	0.9901685393	0.0824934276
262	0.9915730337	0.08191046825
263	0.9915730337	0.08169323688
264	0.9915730337	0.0814967581
265	0.9915730337	0.08146192671
266	0.9915730337	0.08109112534
267	0.9901685393	0.08057395915
268	0.9901685393	0.08024329001
269	0.9901685393	0.07957088091
270	0.9901685393	0.0792263359
271	0.9901685393	0.07874293206
272	0.9901685393	0.0782543637
273	0.9901685393	0.07793352208
274	0.9929775281	0.07752497118
275	0.9915730337	0.07654980997
276	0.9929775281	0.07604888431
277	0.9943820225	0.07545978869
278	0.9943820225	0.07514878256
279	0.9943820225	0.07501713662
280	0.9943820225	0.07500105568
281	0.9943820225	0.07466568813
282	0.9943820225	0.07457928108
283	0.9943820225	0.07398054809
284	0.9929775281	0.07354655559
285	0.9929775281	0.07317830657
286	0.9943820225	0.07277658582
287	0.9943820225	0.0724416766
288	0.9943820225	0.07197822163
289	0.9943820225	0.07179352279
